# L TT EE BB TE PP
1.97000000e+02 7.48575306e-10 9.36238341e-14 1.84056975e-15 -2.57167288e-12 5.83842869e-08
1.98000000e+02 7.50448507e-10 9.32277288e-14 1.86131082e-15 -2.41035797e-12 5.80918919e-08
1.99000000e+02 7.52244018e-10 9.29330014e-14 1.88216099e-15 -2.24598123e-12 5.78018126e-08
2.00000000e+02 7.53963894e-10 9.27444256e-14 1.90311876e-15 -2.07861331e-12 5.75140218e-08
2.01000000e+02 7.55606180e-10 9.26670735e-14 1.92418261e-15 -1.90828476e-12 5.72284939e-08
2.02000000e+02 7.57169884e-10 9.27057168e-14 1.94535100e-15 -1.73507598e-12 5.69452225e-08
2.03000000e+02 7.58652008e-10 9.28653258e-14 1.96662234e-15 -1.55901729e-12 5.66641624e-08
2.04000000e+02 7.60053550e-10 9.31507696e-14 1.98799504e-15 -1.38017898e-12 5.63853219e-08
2.05000000e+02 7.61370512e-10 9.35670157e-14 2.00946746e-15 -1.19862136e-12 5.61086561e-08
2.06000000e+02 7.62603892e-10 9.41188305e-14 2.03103795e-15 -1.01439470e-12 5.58341599e-08
2.07000000e+02 7.63751690e-10 9.48112786e-14 2.05270482e-15 -8.27550267e-13 5.55618283e-08
2.08000000e+02 7.64812906e-10 9.56492236e-14 2.07446635e-15 -6.38169311e-13 5.52916164e-08
2.09000000e+02 7.65791539e-10 9.66374274e-14 2.09632080e-15 -4.46324065e-13 5.50235193e-08
2.10000000e+02 7.66685589e-10 9.77809506e-14 2.11826637e-15 -2.52089748e-13 5.47575186e-08
2.11000000e+02 7.67496056e-10 9.90847526e-14 2.14030125e-15 -5.55403611e-14 5.44935832e-08
2.12000000e+02 7.68224938e-10 1.00553491e-13 2.16242360e-15 1.43248312e-13 5.42317269e-08
2.13000000e+02 7.68872236e-10 1.02192223e-13 2.18463151e-15 3.44201705e-13 5.39718930e-08
2.14000000e+02 7.69438948e-10 1.04005902e-13 2.20692308e-15 5.47244470e-13 5.37140825e-08
2.15000000e+02 7.69925074e-10 1.05998484e-13 2.22929633e-15 7.52297477e-13 5.34582772e-08
2.16000000e+02 7.70328615e-10 1.08176019e-13 2.25174927e-15 9.59280615e-13 5.32044525e-08
2.17000000e+02 7.70649568e-10 1.10542460e-13 2.27427984e-15 1.16811079e-12 5.29525902e-08
2.18000000e+02 7.70887935e-10 1.13101756e-13 2.29688597e-15 1.37871994e-12 5.27026847e-08
2.19000000e+02 7.71042714e-10 1.15859855e-13 2.31956554e-15 1.59101601e-12 5.24546929e-08
2.20000000e+02 7.71112907e-10 1.18820705e-13 2.34231636e-15 1.80492897e-12 5.22086153e-08
2.21000000e+02 7.71099511e-10 1.21988250e-13 2.36513623e-15 2.02035882e-12 5.19644398e-08
2.22000000e+02 7.71000529e-10 1.25368437e-13 2.38802289e-15 2.23724556e-12 5.17221238e-08
2.23000000e+02 7.70816959e-10 1.28964207e-13 2.41097404e-15 2.45547924e-12 5.14816614e-08
2.24000000e+02 7.70549802e-10 1.32780504e-13 2.43398734e-15 2.67498991e-12 5.12430345e-08
2.25000000e+02 7.70199059e-10 1.36820268e-13 2.45706040e-15 2.89566766e-12 5.10062370e-08
2.26000000e+02 7.69763731e-10 1.41089438e-13 2.48019079e-15 3.11744259e-12 5.07712268e-08
2.27000000e+02 7.69244817e-10 1.45591954e-13 2.50337603e-15 3.34021482e-12 5.05379979e-08
